ticker,date,price_usd,market_cap
BTC,2010-10-21,0.107,464556.55
BTC,2010-10-22,0.1025,445808.375
BTC,2010-10-23,0.104556424313267,455667.352799649
BTC,2010-10-24,0.11501,502403.9335
BTC,2010-10-25,0.139118552893045,609130.583842198
BTC,2010-10-26,0.151,662973.05
BTC,2010-10-27,0.1877,826105.24
BTC,2010-10-28,0.1731,763743.165
BTC,2010-10-29,0.19,840427
BTC,2010-10-30,0.197610543541789,876580.610097022
BTC,2010-10-31,0.1925,855633.625
BTC,2010-11-01,0.194525061367621,866356.265812974
BTC,2010-11-02,0.1938,864832.5
BTC,2010-11-03,0.1931,863543.2
BTC,2010-11-04,0.229275160724722,1027622.73412624
BTC,2010-11-05,0.259112413793104,1164192.07517242
BTC,2010-11-06,0.400982302746932,1805984.19334191
BTC,2010-11-07,0.34,1535423
BTC,2010-11-08,0.243184628872005,1101553.41340152
BTC,2010-11-09,0.217272694330801,986537.532243718
BTC,2010-11-10,0.229549731151373,1044611.96155055
BTC,2010-11-11,0.2231,1017704.115
BTC,2010-11-12,0.2682,1225700.82
BTC,2010-11-13,0.276,1264425
BTC,2010-11-14,0.27904,1281895.808
BTC,2010-11-15,0.268464555815313,1235997.39174591
BTC,2010-11-16,0.225,1038105
BTC,2010-11-17,0.241939333722969,1119247.64870251
BTC,2010-11-18,0.269057790765634,1248159.09136178
BTC,2010-11-19,0.27829,1293074.485
BTC,2010-11-20,0.283015964932788,1316675.17365681
BTC,2010-11-21,0.27675,1289461.275
BTC,2010-11-22,0.285,1330223.25
BTC,2010-11-23,0.28295,1322635.6275
BTC,2010-11-24,0.282905736411455,1324932.43533577
BTC,2010-11-25,0.28,1313858
BTC,2010-11-26,0.2844,1337263.02
BTC,2010-11-27,0.283,1333227.15
BTC,2010-11-28,0.271358679135009,1280717.98997955
BTC,2010-11-29,0.230559456458212,1090569.28499299
BTC,2010-11-30,0.2082,986909.64
BTC,2010-12-01,0.2275,1080534
BTC,2010-12-02,0.255,1213545
BTC,2010-12-03,0.251060083576856,1197167.45553206
BTC,2010-12-04,0.205000526008182,979882.014266509
BTC,2010-12-05,0.202850017533606,972026.85651841
BTC,2010-12-06,0.204,979995.6
BTC,2010-12-07,0.233420385739334,1124117.56466277
BTC,2010-12-08,0.2388,1152866.7
BTC,2010-12-09,0.199991694330801,967739.809697313
BTC,2010-12-10,0.204,988635
BTC,2010-12-11,0.228,1106940
BTC,2010-12-12,0.219853611922852,1069269.03426739
BTC,2010-12-13,0.227605236703682,1108574.06588895
BTC,2010-12-14,0.24669,1203637.5135
BTC,2010-12-15,0.24,1173348
BTC,2010-12-16,0.24996,1224204.096
BTC,2010-12-17,0.242655815312683,1190445.16434249
BTC,2010-12-18,0.241,1184261.95
BTC,2010-12-19,0.2401,1182048.315
BTC,2010-12-20,0.267,1316603.7
BTC,2010-12-21,0.241436002337814,1192911.14395091
BTC,2010-12-22,0.25,1237187.5
BTC,2010-12-23,0.249970127995324,1238851.95434483
BTC,2010-12-24,0.248,1230923.2
BTC,2010-12-25,0.2499,1242452.82
BTC,2010-12-26,0.264962127410871,1319259.6804851
BTC,2010-12-27,0.264785388661601,1320577.40814144
BTC,2010-12-28,0.281,1403819.8
BTC,2010-12-29,0.3,1501215
BTC,2010-12-30,0.3,1503750
BTC,2010-12-31,0.3,1506180
BTC,2011-01-01,0.3,1508895
BTC,2011-01-02,0.29997,1511368.848
BTC,2011-01-03,0.295,1488629
BTC,2011-01-04,0.29895,1510669.0875
BTC,2011-01-05,0.298916302162478,1512800.45942919
BTC,2011-01-06,0.298,1510264
BTC,2011-01-07,0.32,1624384
BTC,2011-01-08,0.3229,1641849.63
BTC,2011-01-09,0.323,1644990.55
BTC,2011-01-10,0.32659,1665919.2605
BTC,2011-01-11,0.32659,1668727.9345
BTC,2011-01-12,0.318799621274109,1631584.58171876
BTC,2011-01-13,0.3176,1628430.48
BTC,2011-01-14,0.399990005844535,2054488.66651958
BTC,2011-01-15,0.386,1985661.2
BTC,2011-01-16,0.38679,1993090.191
BTC,2011-01-17,0.3495,1804101.525
BTC,2011-01-18,0.31299,1617845.31
BTC,2011-01-19,0.31299,1620490.0755
BTC,2011-01-20,0.39,2022832.5
BTC,2011-01-21,0.41991,2181621.4095
BTC,2011-01-22,0.44003552893045,2289812.88189538
BTC,2011-01-23,0.4424,2305877.28
BTC,2011-01-24,0.4199,2192549.84
BTC,2011-01-25,0.41,2144054
BTC,2011-01-26,0.415085129748685,2174381.94367551
BTC,2011-01-27,0.4212,2209783.68
BTC,2011-01-28,0.444484044418469,2335452.51458796
BTC,2011-01-29,0.439,2310171.65
BTC,2011-01-30,0.477142033898305,2514610.08994915
BTC,2011-01-31,0.525136870251315,2772013.7401521
